Data do Lead,ID_Lead,Qual a sua área de atuação?,Qual o seu cargo atual?,Quais seus objetivos com o curso?,Como você conheceu a escola?,Conversão
9/1/22,1511,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/3/22,1504,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/4/22,1659,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/7/22,1592,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Indicação,1
9/8/22,2124,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/8/22,2340,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Indicação,0
9/8/22,1728,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/8/22,2239,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
9/8/22,1890,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/10/22,1657,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/10/22,3007,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/12/22,1888,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
9/12/22,3022,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/13/22,1619,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/14/22,1760,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/15/22,2153,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/15/22,1590,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/18/22,1658,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/20/22,1586,Logística,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/20/22,1604,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/21/22,1545,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
9/22/22,1534,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/22/22,1671,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/22/22,1541,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Indicação,1
9/23/22,1656,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/23/22,1597,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/27/22,1576,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/1/22,1706,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/1/22,1632,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/2/22,1733,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/2/22,1631,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/3/22,1734,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/5/22,1630,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/5/22,1651,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
10/6/22,1795,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/7/22,1638,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/8/22,1639,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/8/22,1593,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/9/22,2056,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/9/22,1666,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/9/22,1796,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/10/22,1797,Logística,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/10/22,1676,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/11/22,1669,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
10/11/22,2263,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1798,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1799,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1521,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1599,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/13/22,1843,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/13/22,1844,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/18/22,1845,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/18/22,1846,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/20/22,1858,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/20/22,1708,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/21/22,1859,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/21/22,1785,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
10/22/22,2235,Logística,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/22/22,2204,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
10/23/22,1689,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/23/22,2994,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/23/22,1869,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
10/24/22,1717,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/24/22,1755,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
10/24/22,2493,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Indicação,0
10/25/22,2017,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
10/25/22,2777,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/25/22,1675,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/26/22,1710,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/26/22,2059,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Facebook,0
10/27/22,1802,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/27/22,3146,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/28/22,1998,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
10/28/22,2369,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
10/29/22,1855,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/29/22,3147,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
10/30/22,1750,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/30/22,1751,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/31/22,1699,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
10/31/22,1583,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/31/22,1792,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/31/22,1985,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
10/31/22,2057,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
11/1/22,1994,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
11/1/22,1861,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/1/22,2714,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
11/2/22,2220,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/2/22,1789,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/2/22,2974,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/3/22,1766,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
11/3/22,2401,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
11/3/22,2809,Logística,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
11/4/22,2107,Mercado Financeiro,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Facebook,1
11/4/22,2810,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/4/22,2341,Logística,Analista,Apenas ver se agrega algo ao currículo,Indicação,0
11/5/22,2811,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/5/22,1864,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
11/6/22,1867,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,1
11/6/22,1896,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
11/6/22,2294,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Facebook,0
11/6/22,1856,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/7/22,2431,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Facebook,0
11/8/22,2503,Logística,Estudante,Melhorar minha carreira e ganhar mais,Indicação,0
11/8/22,1853,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/8/22,2142,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
11/8/22,2222,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
11/9/22,2877,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
11/9/22,2882,Mercado Financeiro,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,1
11/9/22,1866,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
11/10/22,1884,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/11/22,2001,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
11/11/22,1883,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/11/22,2533,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/11/22,2143,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Indicação,0
11/11/22,2444,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Facebook,0
11/12/22,1947,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/12/22,2816,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,1
11/12/22,2011,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/13/22,2878,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/13/22,1842,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
11/13/22,2128,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
11/13/22,2127,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
11/14/22,1940,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
11/14/22,2375,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/14/22,1839,Logística,Analista,Apenas ver se agrega algo ao currículo,Facebook,0
11/14/22,2139,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/14/22,2376,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
11/14/22,2377,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
11/15/22,1953,Logística,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
11/15/22,2448,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/15/22,2002,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
11/16/22,2508,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/16/22,2019,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,1
11/17/22,2303,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
11/17/22,2022,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
11/18/22,1969,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
11/18/22,1984,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
11/20/22,2737,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/20/22,2388,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/20/22,2738,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Conta Salário,0
11/22/22,2739,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/22/22,2740,Mercado Financeiro,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
11/23/22,1794,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/23/22,1818,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
11/24/22,2031,Mercado Financeiro,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
11/27/22,1912,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,1
11/29/22,1932,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
11/30/22,2048,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/30/22,2047,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
12/1/22,2978,Logística,Analista,Melhorar minha carreira e ganhar mais,Conta Salário,0
12/2/22,2515,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
12/3/22,2827,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/3/22,2217,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Facebook,0
12/3/22,2407,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
12/3/22,2193,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/3/22,2367,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Facebook,0
12/4/22,2237,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/4/22,1560,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
12/4/22,1705,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/4/22,2312,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/5/22,3314,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/6/22,3315,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/6/22,2761,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Indicação,0
12/6/22,2253,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/7/22,2426,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
12/7/22,2494,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/8/22,2430,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/9/22,2568,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/9/22,1642,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/9/22,2746,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,1
12/9/22,2422,Logística,Analista,Apenas ver se agrega algo ao currículo,Google,0
12/10/22,2645,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
12/11/22,2865,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/11/22,2864,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/11/22,2307,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,1
12/11/22,3316,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/11/22,2338,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Facebook,0
12/11/22,2506,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
12/13/22,2403,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/13/22,2352,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/13/22,2959,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
12/14/22,2368,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/14/22,2371,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/16/22,2395,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
12/16/22,2394,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/16/22,2392,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
12/16/22,1878,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
12/17/22,2481,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
12/17/22,1841,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/19/22,1921,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/20/22,2988,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,1
12/20/22,1670,Logística,Analista,Melhorar minha carreira e ganhar mais,Conta Salário,0
12/21/22,2456,Logística,Estudante,Apenas ver se agrega algo ao currículo,Facebook,0
12/21/22,2793,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
12/21/22,2474,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/21/22,2354,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
12/21/22,2453,Mercado Financeiro,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
12/22/22,2384,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Indicação,0
12/22/22,2460,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/22/22,2187,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/22/22,2259,Logística,Analista,Melhorar minha carreira e ganhar mais,Google,0
12/22/22,2487,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Facebook,0
12/22/22,2469,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/22/22,1924,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/22/22,2466,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/23/22,2412,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/23/22,2475,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/23/22,2476,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/23/22,2478,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/24/22,2482,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/24/22,2485,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/25/22,2488,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
12/25/22,3192,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/26/22,2499,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/26/22,2209,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
12/27/22,2504,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Indicação,0
12/27/22,2510,Mercado Financeiro,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
12/27/22,3317,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/27/22,2251,Logística,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
12/27/22,2579,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/27/22,1681,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
12/27/22,2524,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/27/22,2525,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Indicação,0
12/28/22,2529,Logística,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/28/22,2530,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/28/22,3318,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/28/22,3319,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
