Data do Lead,ID_Lead,Qual a sua área de atuação?,Qual o seu cargo atual?,Quais seus objetivos com o curso?,Como você conheceu a escola?,Conversão
12/28/22,2572,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Facebook,0
12/28/22,2535,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
12/29/22,2110,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/29/22,2541,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/29/22,2544,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
12/29/22,2321,Logística,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/29/22,2551,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Indicação,0
12/29/22,2173,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/29/22,2552,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/30/22,2566,Mercado Financeiro,Estudante,Apenas ver se agrega algo ao currículo,Conta Salário,0
12/30/22,2803,Pessoas / Recursos Humanos,Estudante,Apenas ver se agrega algo ao currículo,Instagram,1
12/30/22,1970,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/30/22,2574,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/2/23,2583,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/2/23,2587,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Conta Salário,0
1/2/23,2632,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/2/23,2588,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/2/23,2867,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
1/2/23,2023,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Indicação,0
1/3/23,2604,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/3/23,2884,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2609,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/3/23,2610,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2733,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2578,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2613,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2619,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/3/23,2620,Pessoas / Recursos Humanos,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
1/4/23,2670,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,3016,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
1/4/23,2627,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2629,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2649,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2630,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2419,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
1/4/23,2638,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
1/5/23,2542,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/5/23,2646,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/5/23,2703,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/5/23,2659,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
1/6/23,2668,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/6/23,3252,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
1/6/23,3025,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/6/23,3255,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/6/23,2683,Pessoas / Recursos Humanos,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/6/23,2359,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/6/23,2687,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/6/23,2688,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/7/23,2690,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/7/23,3620,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,1
1/7/23,2890,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
1/7/23,1724,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
1/7/23,2702,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/7/23,2710,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/8/23,2347,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/8/23,2722,Logística,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
1/8/23,2223,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,1
1/8/23,2723,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/8/23,2724,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/8/23,2726,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/8/23,2730,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/8/23,2847,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/9/23,2745,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/10/23,2767,Mercado Financeiro,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
1/10/23,2593,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Google,0
1/11/23,1767,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/11/23,2379,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/12/23,2894,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
1/13/23,3503,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
1/13/23,2455,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Google,0
1/13/23,2840,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/14/23,2838,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/14/23,2846,Logística,Estudante,Apenas ver se agrega algo ao currículo,Indicação,0
1/14/23,2918,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
1/15/23,3420,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Google,0
1/15/23,2109,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/16/23,2708,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/17/23,2667,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/17/23,2905,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/17/23,2873,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
1/17/23,2807,Logística,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/17/23,2880,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
1/18/23,2879,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/18/23,2889,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/18/23,2892,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Conta Salário,0
1/18/23,2893,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/20/23,2911,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/20/23,2912,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/21/23,2920,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/21/23,2930,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/22/23,2937,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/22/23,2939,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/22/23,2941,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Google,0
1/23/23,2946,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/23/23,2949,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/23/23,2956,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/23/23,2960,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/23/23,2563,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Google,1
1/23/23,1965,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/23/23,3537,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/24/23,2965,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/24/23,2971,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
1/24/23,2991,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/25/23,2997,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/25/23,3006,Logística,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/25/23,3015,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/25/23,3014,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Google,0
1/25/23,3027,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/26/23,3031,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/26/23,3033,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Indicação,0
1/26/23,3036,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Conta Salário,0
1/26/23,3044,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/27/23,3053,Logística,Analista,Melhorar minha carreira e ganhar mais,Conta Salário,0
1/27/23,2676,Mercado Financeiro,Estudante,Apenas ver se agrega algo ao currículo,Google,0
1/27/23,3057,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/27/23,3060,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
1/27/23,2704,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/27/23,1700,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/27/23,3069,Pessoas / Recursos Humanos,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/28/23,3106,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Facebook,0
1/28/23,3090,Pessoas / Recursos Humanos,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/29/23,3102,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/29/23,3113,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/30/23,3135,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/31/23,3139,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/31/23,3140,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
1/31/23,3143,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
1/31/23,3154,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/31/23,3158,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/1/23,3170,Mercado Financeiro,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
2/1/23,2265,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Indicação,0
2/1/23,3394,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/2/23,3186,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/2/23,3187,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Facebook,0
2/3/23,3190,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/3/23,3196,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/3/23,3206,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/3/23,3281,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/4/23,3213,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/4/23,3361,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/4/23,3345,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,1
2/4/23,3227,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/5/23,3313,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/5/23,3232,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
2/5/23,3236,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/5/23,3390,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/6/23,3240,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/6/23,3640,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/6/23,1875,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/7/23,3265,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
2/7/23,1910,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/7/23,3277,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
2/7/23,3280,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
2/8/23,3282,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/8/23,3358,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/8/23,3284,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
2/8/23,3307,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Conta Salário,0
2/8/23,3294,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/9/23,3302,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/10/23,3322,Logística,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
2/10/23,3323,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/10/23,2943,Pessoas / Recursos Humanos,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/10/23,2346,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/10/23,3059,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Youtube,0
2/10/23,2951,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
2/10/23,3332,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/11/23,1824,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/11/23,2919,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
2/11/23,3346,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
2/11/23,3367,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
2/11/23,3467,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
2/11/23,3354,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/12/23,2279,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/12/23,3363,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
2/12/23,3402,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/13/23,1949,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Facebook,0
2/13/23,3372,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/13/23,3309,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
2/13/23,3380,Logística,Estudante,Apenas ver se agrega algo ao currículo,Facebook,0
2/14/23,3121,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/14/23,3384,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
2/14/23,3388,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/14/23,3271,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/14/23,3401,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/15/23,3404,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
2/15/23,2900,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
2/15/23,3415,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
2/15/23,3421,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/16/23,3385,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
2/17/23,3525,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/17/23,3116,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/17/23,3444,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Indicação,0
2/17/23,3451,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Youtube,0
2/17/23,3452,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/17/23,3062,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Youtube,0
2/17/23,2421,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/18/23,1929,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/18/23,3462,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
2/18/23,1514,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/18/23,3476,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Facebook,0
2/18/23,3479,Comercial / Vendas,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
2/19/23,2849,Logística,Analista,Melhorar minha carreira e ganhar mais,Youtube,0
2/19/23,3487,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
2/19/23,3530,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Facebook,0
2/19/23,1652,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
2/20/23,3181,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Youtube,0
2/21/23,3448,Logística,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
2/21/23,3526,Logística,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
2/22/23,3141,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/22/23,1553,Comercial / Vendas,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/22/23,3582,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/23/23,2923,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/23/23,3555,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
2/23/23,3449,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
2/23/23,3221,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Google,0
2/24/23,3383,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/24/23,1873,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/24/23,3296,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/24/23,2681,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/25/23,2328,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
2/25/23,3602,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/25/23,3539,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/25/23,3453,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
2/25/23,3359,Logística,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
2/25/23,3341,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/26/23,3612,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/26/23,3614,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/27/23,3625,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
2/27/23,3642,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Conta Salário,0
2/27/23,3335,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
2/27/23,2656,Logística,Estou desempregado(a) no momento,Apenas ver se agrega algo ao currículo,Instagram,0
2/28/23,3650,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/28/23,2560,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
2/28/23,2329,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,